LGA,PopDens
Ngaanyatjarraku,0.0
Northam,8.5
Northampton,0.3
Nungarin,0.2
Peppermint Grove,1625.9
Perenjori,0.1
Perth,2392.4
Pingelly,0.8
Plantagenet,1.2
Port Hedland,0.9
Quairading,0.5
Ravensthorpe,0.2
Rockingham,578.0
Sandstone,0.0
Serpentine-Jarrahdale,40.8
Shark Bay,0.0
South Perth,2357.3
Stirling,2328.6
Subiaco,3358.7
Swan,164.5
Tammin,0.4
Three Springs,0.2
Toodyay,2.9
Trayning,0.2
Upper Gascoyne,0.0
Victoria Park,2273.3
Victoria Plains,0.3
Vincent,3526.8
Wagin,0.9
Wandering,0.3
Wanneroo,335.8
Waroona,5.4
West Arthur,0.3
Westonia,0.1
Wickepin,0.3
Williams,0.5
Wiluna,0.0
Wongan-Ballidu,0.4
Woodanilling,0.4
Wyalkatchem,0.3
Wyndham-East Kimberley,0.1
Yalgoo,0.0
Yilgarn,0.0
York,1.7
Christmas Island,13.4
Cocos Islands,46.0
Break O`Day,2.0
Brighton,116.8
Burnie,33.5
Central Coast (Tas.),25.0
Central Highlands (Tas.),0.3
Circular Head,1.7
Clarence,168.4
Derwent Valley,2.8
Devonport,242.5
Dorset,2.2
Flinders (Tas.),0.5
George Town,11.2
Glamorgan-Spring Bay,2.0
Glenorchy,419.3
Hobart,718.4
Huon Valley,3.5
Kentish,5.9
King Island,1.5
Kingborough,57.2
Latrobe (Tas.),21.8
Launceston,50.8
Meander Valley,6.4
Northern Midlands,2.8
Sorell,30.2
Southern Midlands,2.6
Tasman,4.1
Waratah-Wynyard,4.2
West Coast,0.5
West Tamar,37.7
Alice Springs,89.1
Barkly,0.0
Belyuen,4.0
Central Desert,0.0
Coomalie,0.7
Darwin,768.1
Darwin Waterfront Precinct,378.7
East Arnhem,0.3
Katherine,1.5
Litchfield,8.1
MacDonnell,0.0
Palmerston,603.0
Roper Gulf,0.0
Tiwi Islands,0.4
Victoria Daly,0.0
Wagait,81.9
West Arnhem,0.1
West Daly,0.2
Unincorporated NT,0.4
